PSR %CPU
PSR %CPU
  3 21.9
  0  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  3  0.5
PSR %CPU
  0 21.9
  0  0.6
  0  0.0
  3  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  3  0.5
PSR %CPU
  0 22.0
  2  0.7
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  0 22.2
  2  0.7
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 22.2
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 22.4
  2  0.7
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 22.5
  2  0.7
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 22.5
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 22.6
  2  0.7
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 22.8
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 22.7
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  2 22.8
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 23.0
  0  0.7
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  2 23.0
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  2 22.9
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  0 23.1
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 23.2
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  2 23.2
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  2 23.3
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  0 23.5
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 23.6
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 23.4
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 23.7
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  2 23.8
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  0 23.7
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 23.8
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 24.0
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  2 24.0
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  2 24.0
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 24.2
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 24.2
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 24.3
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 24.5
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  0 24.4
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  0 24.4
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 24.5
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 24.6
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 24.6
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  0 24.8
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  0 24.9
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  2 24.9
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  0 24.8
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  0 24.9
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  0 25.0
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  2 25.0
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  0 25.2
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  2 25.3
  0  0.6
